"","date","soe","total_arrivals"
"410",2022-06-01,"Melaka",5730
"411",2022-06-01,"Negeri Sembilan",5760
"412",2022-06-01,"Pahang",53
"413",2022-06-01,"Perak",7696
"414",2022-06-01,"Perlis",41620
"415",2022-06-01,"Pulau Pinang",38589
"416",2022-06-01,"Sabah",10590
"417",2022-06-01,"Sarawak",29014
"418",2022-06-01,"Selangor",254120
"419",2022-06-01,"Terengganu",7
"420",2022-06-01,"W.P. Labuan",42
"421",2022-07-01,"Johor",1125995
"422",2022-07-01,"Kedah",53769
"423",2022-07-01,"Kelantan",16009
"424",2022-07-01,"Melaka",6265
"425",2022-07-01,"Negeri Sembilan",6090
"426",2022-07-01,"Pahang",85
"427",2022-07-01,"Perak",10885
"428",2022-07-01,"Perlis",50675
"429",2022-07-01,"Pulau Pinang",43801
"430",2022-07-01,"Sabah",19694
"431",2022-07-01,"Sarawak",35179
"432",2022-07-01,"Selangor",331379
"433",2022-07-01,"Terengganu",0
"434",2022-07-01,"W.P. Labuan",64
"435",2022-08-01,"Johor",1122353
"436",2022-08-01,"Kedah",49025
"437",2022-08-01,"Kelantan",29539
"438",2022-08-01,"Melaka",6512
"439",2022-08-01,"Negeri Sembilan",7508
"440",2022-08-01,"Pahang",190
"441",2022-08-01,"Perak",12303
"442",2022-08-01,"Perlis",65702
"443",2022-08-01,"Pulau Pinang",45781
"444",2022-08-01,"Sabah",19225
"445",2022-08-01,"Sarawak",63655
"446",2022-08-01,"Selangor",385927
"447",2022-08-01,"Terengganu",0
"448",2022-08-01,"W.P. Labuan",653
"449",2022-09-01,"Johor",1202442
"450",2022-09-01,"Kedah",53695
"451",2022-09-01,"Kelantan",30029
"452",2022-09-01,"Melaka",7883
"453",2022-09-01,"Negeri Sembilan",6848
"454",2022-09-01,"Pahang",230
"455",2022-09-01,"Perak",9785
"456",2022-09-01,"Perlis",48378
"457",2022-09-01,"Pulau Pinang",49737
"458",2022-09-01,"Sabah",17259
"459",2022-09-01,"Sarawak",90338
"460",2022-09-01,"Selangor",382603
"461",2022-09-01,"Terengganu",16
"462",2022-09-01,"W.P. Labuan",940
"463",2022-10-01,"Johor",1208015
"464",2022-10-01,"Kedah",76669
"465",2022-10-01,"Kelantan",38130
"466",2022-10-01,"Melaka",6778
"467",2022-10-01,"Negeri Sembilan",7422
"468",2022-10-01,"Pahang",132
"469",2022-10-01,"Perak",14232
"470",2022-10-01,"Perlis",58279
"471",2022-10-01,"Pulau Pinang",55019
"472",2022-10-01,"Sabah",17484
"473",2022-10-01,"Sarawak",95953
"474",2022-10-01,"Selangor",443226
"475",2022-10-01,"Terengganu",4
"476",2022-10-01,"W.P. Labuan",1026
"477",2022-11-01,"Johor",1214628
"478",2022-11-01,"Kedah",74452
"479",2022-11-01,"Kelantan",33210
"480",2022-11-01,"Melaka",5202
"481",2022-11-01,"Negeri Sembilan",6805
"482",2022-11-01,"Pahang",59
"483",2022-11-01,"Perak",15485
"484",2022-11-01,"Perlis",55300
"485",2022-11-01,"Pulau Pinang",54970
"486",2022-11-01,"Sabah",21324
"487",2022-11-01,"Sarawak",98435
"488",2022-11-01,"Selangor",467311
"489",2022-11-01,"Terengganu",4
"490",2022-11-01,"W.P. Labuan",1234
"491",2022-12-01,"Johor",1395639
"492",2022-12-01,"Kedah",76994
"493",2022-12-01,"Kelantan",26458
"494",2022-12-01,"Melaka",8007
"495",2022-12-01,"Negeri Sembilan",7009
"496",2022-12-01,"Pahang",721
"497",2022-12-01,"Perak",18264
"498",2022-12-01,"Perlis",54034
"499",2022-12-01,"Pulau Pinang",65816
"500",2022-12-01,"Sabah",29583
"501",2022-12-01,"Sarawak",193715
"502",2022-12-01,"Selangor",521992
"503",2022-12-01,"Terengganu",0
"504",2022-12-01,"W.P. Labuan",2316
"505",2023-01-01,"Johor",1234076
"506",2023-01-01,"Kedah",85209
"507",2023-01-01,"Kelantan",49955
"508",2023-01-01,"Melaka",5387
"509",2023-01-01,"Negeri Sembilan",8081
"510",2023-01-01,"Pahang",502
"511",2023-01-01,"Perak",15179
"512",2023-01-01,"Perlis",59072
"513",2023-01-01,"Pulau Pinang",68457
"514",2023-01-01,"Sabah",37889
"515",2023-01-01,"Sarawak",140685
"516",2023-01-01,"Selangor",528858
"517",2023-01-01,"Terengganu",0
"518",2023-01-01,"W.P. Labuan",1622
"519",2023-02-01,"Johor",1096031
"520",2023-02-01,"Kedah",82858
"521",2023-02-01,"Kelantan",51162
"522",2023-02-01,"Melaka",5254
"523",2023-02-01,"Negeri Sembilan",9828
"524",2023-02-01,"Pahang",220
"525",2023-02-01,"Perak",15986
"526",2023-02-01,"Perlis",56894
"527",2023-02-01,"Pulau Pinang",65039
"528",2023-02-01,"Sabah",33907
"529",2023-02-01,"Sarawak",132326
"530",2023-02-01,"Selangor",495852
"531",2023-02-01,"Terengganu",3
"532",2023-02-01,"W.P. Labuan",1946
